pert_iname,inchi_key,canonical_smiles,pubchem_cid
nifedipine,OSUCQKNXQBPLDG-UHFFFAOYSA-N,COC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)c2ccccc2[N+](=O)[O-],4485
SDZ-WAG-994,JAKAFSGZUXCHLF-UHFFFAOYSA-N,COC1C(O)C(CO)OC1n2cnc3c(NC4CCCCC4)ncnc23,18755269
TCB2,MPBCKKVERDTCEL-UHFFFAOYSA-N,COc1cc(Br)c(OC)c2CC(CN)c21,16046239
mitotane,JWBOIMRXGHLCPP-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl,-666
fludarabine,HBUBKKRHXORPQB-VKJDSPIKSA-N,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O,57007282
methocarbamol,GNXFOGHNGIVQEH-UHFFFAOYSA-N,COc1ccccc1OCC(O)COC(N)=O,4107
CGP-20712,GKJZEKSHCJELPL-UHFFFAOYSA-N,Cn1cc(nc1c2ccc(OCC(O)CNCCOc3ccc(O)c(c3)C(=O)N)cc2)C(F)(F)F,-666
formestane,ZMEULISFKSVRLQ-UHFFFAOYSA-N,CC12CCC3C(CCC4C(=O)C(=O)CCC34C)C2CCC1=O,44511091
methyllycaconitine,XLTANAWLDBYGFU-UHFFFAOYSA-N,CCN1CC2(COC(=O)c3ccccc3N4C(=O)CC(C)C4=O)CCC(OC)C5(C6CC7C(OC)C6C(O)(CC7OC)C8(O)C(OC)C52)C18,494471
MRS-1845,VNIMHBLANIQWNY-UHFFFAOYSA-N,COC(=O)C1=C(C)N(CC#C)C(=C(C1c2cccc(c2)n3oo3)C(=O)CCO)C,5202074
oxfendazole,BEZZFPOZAYTVHN-UHFFFAOYSA-N,COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c1ccccc1,-666
scopolamine,GSYQNAMOFFWAPF-XIWXXBRKSA-N,C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,73707515
suloctidil,BFCDFTHTSVTWOG-UHFFFAOYSA-N,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,5354
rolipram,HJORMJIFDVBMOB-UHFFFAOYSA-N,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,-666
CGP-12177,ANAWRRAUQXSHKD-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12,-666
homosalate,WSSJONWNBBTCMG-UHFFFAOYSA-N,CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O,8362
proscillaridin,MYEJFUXQJGHEQK-BVLCKXLMSA-N,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)c6ccc(=O)oc6)[C@H](O)[C@H](O)[C@H]1O,-666
rutin,IKGXIBQEEMLURG-UHFFFAOYSA-N,CC1OC(OCC2OC(Oc3c(oc4cc(O)cc(O)c4c3=O)c5ccc(O)c(O)c5)C(O)C(O)C2O)C(O)C(O)C1O,5293655
eriodictyol,SBHXYTNGIZCORC-UHFFFAOYSA-N,Oc1cc(O)c2C(=O)CC(Oc2c1)c3ccc(O)c(O)c3,11095
dexamethasone,UREBDLICKHMUKA-UHFFFAOYSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,3003
NECA,JADDQZYHOWSFJD-UHFFFAOYSA-N,CCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)ncnc23,2868392
L-803087,OPNMQSFIGUSHDH-UHFFFAOYSA-N,COC(=O)C(CCCNC(=N)N)NC(=O)CCCc1c([nH]c2c(F)cc(F)cc12)c3ccccc3,9805390
verteporfin,ZQFGRJWRSLZCSQ-UHOWIMBOSA-N,COC(=O)CCc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)c(CCC(O)=O)c5C)c(C=C)c4C)C1=CC=C(C(C(=O)OC)[C@@]31C)C(=O)OC,11980942
amcinonide,ILKJAFIWWBXGDU-ZYDCGBIBSA-N,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,-666
BRD-A36059655,TZLQDAXJSITRIB-UHFFFAOYSA-N,COc1ccc2N3C(=NC(=O)C(Cc4ccccc4)C3=O)Sc2c1,2928239
remacemide,YSGASDXSLKIKOD-UHFFFAOYSA-N,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1,60510
genistein,ZCOLJUOHXJRHDI-UHFFFAOYSA-N,OCC1OC(Oc2cc(O)c3c(=O)c(coc3c2)c4ccc(O)cc4)C(O)C(O)C1O,5284639
buphenine,PTGXAUBQBSGPKF-UHFFFAOYSA-N,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,5702098
necrostatin-1,TXUWMXQFNYDOEZ-UHFFFAOYSA-N,CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O,2828334
biperiden,YSXKPIUOCJLQIE-BDWAOYLISA-N,OC(CCN1CCCCC1)(C2C[C@H]3C[C@@H]2C=C3)c4ccccc4,-666
hydroxycholesterol,IOWMKBFJCNLRTC-JNZINCJWSA-N,CC(C)[C@H](O)CCC(C)C1CCC2C3CC=C4C[C@@H](O)CC[C@@]4(C)C3CC[C@@]12C,73707416
physostigmine,PIJVFDBKTWXHHD-WUJWULDRSA-N,CNC(=O)Oc1ccc2N(C)C3N(C)CC[C@@]3(C)c2c1,16212981
ipratropium,OEXHQOGQTVQTAT-ZFWRPDKHSA-N,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,-666
naloxone,UZHSEJADLWPNLE-UHFFFAOYSA-N,Oc1ccc2CC3N(CC=C)CCC4(C5Oc1c24)C3(O)CCC5=O,-666
daunorubicin,STQGQHZAVUOBTE-UHFFFAOYSA-N,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C,2958
BRD-A37656721,MHYQHWLKERVOMZ-UHFFFAOYSA-N,COc1ccc(cc1OC)C(=O)C2CCCN(CC3CCCCC3)C2,44629413
SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,176155
triamcinolone,GFNANZIMVAIWHM-MGVPRKGPSA-N,C[C@]12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=C[C@]34C)C1C[C@@H](O)[C@]2(O)C(=O)CO,-666
picrotoxin,PIMZUZSSNYHVCU-IQPPENEWSA-N,CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@@]53C,24041599
cyclazosin,XBRXTUGRUXGBPX-UHFFFAOYSA-N,COc1cc2nc(nc(N)c2cc1OC)N1CCN(C2CCCCC12)C(=O)c1ccco1,2894
estrone,DNXHEGUUPJUMQT-GUZDXLFXSA-N,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CCC2=O,-666
cyclosporin-a,PMATZTZNYRCHOR-NFOUMSERSA-N,CCC1NC(=O)C([C@H](O)[C@H](C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,16404350
KU-14R,JCWVNNMJXQJVNC-UHFFFAOYSA-N,CCC1(Cc2ccccc2O1)c1ncc[nH]1,4302964
BL-077,XMRPGKVKISIQBV-IKAFFPRBSA-N,CC(=O)C1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23902994
GW-311616,NDNKNUMSTIMSHQ-PTJVQUAFSA-N,CC(C)C1[C@H]2[C@@H](CCN2C(=O)/C=C/CN3CCCCC3)N(C1=O)S(=O)(=O)C,44483335
BH3I-1,COHIEJLWRGREHV-XFFZJAGNSA-N,CC(C)C(N1C(=O)/C(=C/c2ccc(Br)cc2)/SC1=S)C(=O)O,-666
mosapride,YPELFRMCRYSPKZ-UHFFFAOYSA-N,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,119584
DCPIB,KHKGTPJPBOQECW-UHFFFAOYSA-N,CCCCC1(Cc2cc(OCCCC(O)=O)c(Cl)c(Cl)c2C1=O)C1CCCC1,-666
cyproterone,UWFYSQMTEOIJJG-NKGGGRBPSA-N,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C5CC5[C@]4(C)[C@H]3CC[C@@]21C)C(=O)C,-666
norethisterone,VIKNJXKGJWUCNN-FOEMKWDFSA-N,C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,5702093
OMDM-2,ICDMLAQPOAVWNH-UHFFFAOYSA-N,CCCCCCCCC=CCCCCCCCC(=O)NC(CO)Cc1ccc(O)cc1,6376692
HC-toxin,GNYCTMYOHGBSBI-UHFFFAOYSA-N,CC1NC(=O)C2CCCN2C(=O)C(CCCCCC(=O)C2CO2)NC(=O)C(C)NC1=O,3571
estradiol-valerate,RSEPBGGWRJCQGY-ZZSVNSIZSA-N,CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C,163332
eplerenone,JUKPWJGBANNWMW-UHFFFAOYSA-N,COC(=O)C1CC2=CC(=O)CCC2(C)C34OC4CC5(C)C(CCC65CCC(=O)O6)C13,21865526
radicicol,WYZWZEOGROVVHK-ZUVMSYQZSA-N,CC1CC2OC2\C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,5311380
ketorolac,OZWKMVRBQXNZKK-UHFFFAOYSA-N,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,-666
methoprene-acid,MNYBEULOKRVZKY-TZOAMJEDSA-N,COC(C)(C)CCCC(C)C/C=C/C(=C/C(=O)O)/C,5353760
cyclopenthiazide,BKYKPTRYDKTTJY-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(NC(CC3CCCC3)NS2(=O)=O)cc1Cl,-666
bongkrek-acid,SHCXABJSXUACKU-IPUKGTGASA-N,COC(C/C=C/C=C/CC\C=C/CC(C)\C=C/C(=C\C(=O)O)/CC(=O)O)/C(=C\C=C(/C)\C(=O)O)/C,16760034
practolol,DURULFYMVIFBIR-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(NC(C)=O)cc1,-666
PK-11195,RAVIZVQZGXBOQO-UHFFFAOYSA-N,CCC(C)N(C)C(=O)c1cc2ccccc2c(n1)-c1ccccc1Cl,1345
ezetimibe,OLNTVTPDXPETLC-OJVMETQDSA-N,OC(CC[C@@H]1[C@H](N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1,-666
TGX-221,CPRAGQJXBLMUEL-UHFFFAOYSA-N,CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,9907093
sulmazole,JQUKCPUPFALELS-UHFFFAOYSA-N,COc1cc(ccc1c2nc3ccncc3[nH]2)S(=O)C,55690
naloxone,AKXCFAYOTIEFOH-UHFFFAOYSA-N,Oc1ccc2CC3N(CC=C)CCC4(C5Oc1c24)C3(O)CCC5=NNC(=O)c6ccccc6,5353813
vitexin,SGEWCQFRYRRZDC-YWFAZRBLSA-N,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,6713958
formestane,ZMEULISFKSVRLQ-XZTYSOPQSA-N,C[C@]12CC[C@@H]3[C@@H](CCC4C(=O)C(=O)CC[C@]34C)[C@H]1CCC2=O,73707500
carteolol,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,-666
L-152804,XQDXIHYKAGHZRX-UHFFFAOYSA-N,CC1(C)CC(=O)C(C2c3ccccc3OC3=C2C(=O)CC(C)(C)C3)C(=O)C1,3765615
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,OC(=O)COCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1,-666
iopanoic-acid,OIRFJRBSRORBCM-UHFFFAOYSA-N,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,-666
triciribine,HOGVTUZUJGHKPL-UHFFFAOYSA-N,Cn1nc(N)c2cn(C3OC(CO)C(O)C3O)c4ncnc1c24,-666
ornidazole,IPWKIXLWTCNBKN-UHFFFAOYSA-N,Cc1ncc(n1CC(O)CCl)[N+]([O-])=O,-666
niguldipine,SLTFTBXXKKDMPA-UHFFFAOYSA-N,CCCN1C(C)=C(C(c2cccc(c2)[N+]([O-])=O)C(C(=O)ON2CCC(CC2)(c2ccccc2)c2ccccc2)=C1C)C(=O)OC,71317558
pinacidil,IVVNZDGDKPTYHK-UHFFFAOYSA-N,CC(N\C(Nc1ccncc1)=N\C#N)C(C)(C)C,4826
L-368899,MWIASLNTAGRGGA-WVJGRJQASA-N,Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,9893887
tetrahydropalmatine,AEQDJSLRWYMAQI-UHFFFAOYSA-N,COc1ccc2CC3N(CCc4cc(OC)c(OC)cc34)Cc2c1OC,-666
reboxetine,CBQGYUDMJHNJBX-UHFFFAOYSA-N,CCOc1ccccc1OC(C2CNCCO2)c3ccccc3,3022645
doxylamine,HCFDWZZGGLSKEP-UHFFFAOYSA-N,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,-666
azasetron,WUKZPHOXUVCQOR-UHFFFAOYSA-N,CN1C(=O)COc2c1cc(Cl)cc2C(=O)NC1CN2CCC1CC2,115000
mifepristone,VKHAHZOOUSRJNA-UHFFFAOYSA-N,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC21C)c5ccc(cc5)N(C)C,4196
erythromycin,NSYZCCDSJNWWJL-UHFFFAOYSA-N,CCOC(=O)CCC(=O)OC1C(CC(C)OC1OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)N(C)C,3256
meclocycline,YKYBWGJKLYMCFI-LOXSQDDVSA-N,CN(C)[C@H]1[C@@H]2[C@@H](O)C3C(C(=O)c4c(O)ccc(Cl)c4C3=C)C(=O)[C@]2(O)C(=O)C(C(=O)N)C1=O,54682932
WYE-125132,QLHHRYZMBGPBJG-UHFFFAOYSA-N,CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1,25260757
UBP-302,UUIYULWYHDSXHL-UHFFFAOYSA-N,NC(Cn1ccc(=O)n(Cc2ccccc2C(O)=O)c1=O)C(O)=O,11674376
tetramisole,HLFSDGLLUJUHTE-UHFFFAOYSA-N,C1CN2CC(N=C2S1)c1ccccc1,-666
ouabain,LPMXVESGRSUGHW-UHFFFAOYSA-N,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)C(O)C(O)C1O,-666
NPC-15199,CBPJQFCAFFNICX-UHFFFAOYSA-N,CC(C)CC(NC(=O)OCC1c2ccccc2-c3ccccc13)C(=O)O,4308
mitomycin-c,NWIBSHFKIJFRCO-CPKMXBGFSA-N,CO[C@@]12[C@@H]3NC3CN1C1=C([C@@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,-666
pioglitazone,HYAFETHFCAUJAY-UHFFFAOYSA-N,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,-666
mibefradil,HBNPJJILLOYFJU-UHFFFAOYSA-N,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,5230270
testosterone-propionate,PDMMFKSKQVNJMI-PPRDLICTSA-N,CCC(=O)O[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C,5701990
IB-MECA,HUJXGQILHAUCCV-FEWYLQRLSA-N,CNC(=O)[C@H]1O[C@H](C(O)[C@H]1O)n2cnc3c(NCc4cccc(I)c4)ncnc23,-666
donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,-666
ciprofibrate,KPSRODZRAIWAKH-UHFFFAOYSA-N,CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O,-666
desoximetasone,VWVSBHGCDBMOOT-ZIKVJHDZSA-N,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,-666
cucurbitacin-i,NZZOMHODWAPPJH-YPXOEWKESA-N,CC(C)(O)/C=C/C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C,-666
foliosidine,IUPYLWAXGAJZQC-UHFFFAOYSA-N,COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12,2837663
fludroxycortide,POPFMWWJOGLOIF-KYSSJFEUSA-N,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)C4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,5702172
scopolamine-n-oxide,GSYQNAMOFFWAPF-PPOBMCMBSA-N,C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,3000667
sirolimus,QFJCIRLUMZQUOT-DENUVPQMSA-N,CO[C@@H]1C[C@H](CC(C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O,73438890
meclizine,OCJYIGYOJCODJL-UHFFFAOYSA-N,Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1,92303
PD-0325901,SUDAHWBOROXANE-UHFFFAOYSA-N,OCC(O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,10206158
fipronil,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,Nc1c(c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,-666
fenoldopam,TVURRHSHRRELCG-UHFFFAOYSA-N,Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12,3341
CGK-733,HLCDNLNLQNYZTK-UHFFFAOYSA-N,[O-][N+](=O)c1cc(NC(=S)NC(NC(=O)C(c2ccccc2)c2ccccc2)C(Cl)(Cl)Cl)ccc1F,-666
norgestrel,WWYNJERNGUHSAO-RYHLCRTJSA-N,CC[C@@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C2CC[C@@]1(O)C#C,5702096
cyproterone,UWFYSQMTEOIJJG-PYAXFEBGSA-N,CC(=O)O[C@@]1(CC[C@@H]2[C@@H]3C=C(Cl)C4=CC(=O)C5CC5[C@]4(C)[C@@H]3CC[C@]12C)C(C)=O,73707455
noscapine,AKNNEGZIBPJZJG-ZVAWYAOSSA-N,COc1ccc2[C@H](OC(=O)c2c1OC)C1N(C)CCc2cc3OCOc3c(OC)c12,12310313
yohimbine,BLGXFZZNTVWLAY-UHFFFAOYSA-N,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC12,2866
venlafaxine,PNVNVHUZROJLTJ-UHFFFAOYSA-N,COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1,-666
econazole,LEZWWPYKPKIXLL-UHFFFAOYSA-N,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,-666
BRL-15572,QJHCTHPYUOXOGM-UHFFFAOYSA-N,OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1,-666
BRD-A51929314,ZWAVGFSZMACJHA-UHFFFAOYSA-N,OC(=O)CCCC=CCC1COC(OC1c2ccccc2O)C(F)(F)F,5812876
withaferin-a,DBRXOUCRJQVYJQ-MZNHJNIISA-N,CC([C@H]1CC[C@@H]2[C@H]3C[C@H]4O[C@@]44[C@@H](O)C=CC(=O)[C@@]4(C)C3CC[C@@]12C)[C@@H]1CC(C)=C(CO)C(=O)O1,73707417
totaralolal,QMRLEXVAVRHWSE-IPNZSQQUSA-N,CC(C)c1c(O)ccc2c1CCC3[C@](C)(CCC[C@@]32C)C=O,6708512
antimycin-a,UIFFUZWRFRDZJC-RBVQMQRASA-N,CCCCCCC1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC1=O,16218979
15-delta-prostaglandin-j2,VHRUMKCAEVRUBK-XSDKJXIISA-N,CCCCC\C=C\C=C1/C(C\C=C\CCCC(O)=O)C=CC1=O,6375741
epitestosterone,MUMGGOZAMZWBJJ-YKBUPIRMSA-N,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@H]2O,-666
orphenadrine,QVYRGXJJSLMXQH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1C,83823
IRL-2500,UZDORQWMYRRLQV-UHFFFAOYSA-N,CN(C(Cc1ccc(cc1)c2ccccc2)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)C(=O)c5cc(C)cc(C)c5,4574540
cortisone-acetate,ITRJWOMZKQRYTA-XLSOAHDVSA-N,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(=O)C[C@]12C,-666
dihydroergotamine,LUZRJRNZXALNLM-UHFFFAOYSA-N,CN1CC(CC2C1Cc3c[nH]c4cccc2c34)C(=O)NC5(C)OC6(O)C7CCCN7C(=O)C(Cc8ccccc8)N6C5=O,-666
etomidate,NPUKDXXFDDZOKR-UHFFFAOYSA-N,CCOC(=O)c1cncn1C(C)c1ccccc1,-666
KF-38789,NHFIAAAMCYVRIW-UHFFFAOYSA-N,COc1ccc(C2CC(=NCCS2)c2c(O)cc(C)oc2=O)c(OC)c1,5310849
testosterone,MUMGGOZAMZWBJJ-PPORCNLBSA-N,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@@H]2O,-666
colforsin,OHCQJHSOBUTRHG-VDCUXWMXSA-N,CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C,-666
vinblastine,JXLYSJRDGCGARV-CUGARIAGSA-N,CC[C@]1(O)CC2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC,6710780
H-7,BDVFVCGFMNCYPV-UHFFFAOYSA-N,CC1CNCCN1S(=O)(=O)c2cccc3cnccc23,9862218
primaquine,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,-666
BW-B70C,UAIYNMRLUHHRMF-AATRIKPKSA-N,CC(\C=C\c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,-666
omeprazole,SUBDBMMJDZJVOS-UHFFFAOYSA-N,COc1ccc2nc([nH]c2c1)S(=O)Cc1ncc(C)c(OC)c1C,4594
thiorphan,LJJKNPQAGWVLDQ-UHFFFAOYSA-N,OC(=O)CNC(=O)C(CS)Cc1ccccc1,-666
epirubicin,AOJJSUZBOXZQNB-SNFLSGHGSA-N,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,32875
SQ-22536,UKHMZCMKHPHFOT-UHFFFAOYSA-N,Nc1ncnc2n(cnc12)C1CCCO1,5270
BRD-A57107094,IPKBXSUMEMELJD-UHFFFAOYSA-N,COC(=O)C1=C(C)NC2=C(C1c3ccccc3)C(=O)CC(C2)c4ccc(Cl)cc4,2864482
piroxicam,MNSCVRXKDINXEY-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,-666
nimodipine,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,-666
pinacidil,IVVNZDGDKPTYHK-UHFFFAOYSA-N,CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,4826
deoxyandirobin,NCNXULVCMORARX-NYMFISLZSA-N,CC1(C)[C@H](O)C=C[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]3(C)OC(=O)CC12)c5ccoc5,-666
BRD-A59145032,ULFXYGSLIIQWSV-UHFFFAOYSA-N,FC(F)(F)c1ccc(cc1)C(=O)C(CN1CCOCC1)c1ccccc1,51003718
ritodrine,IOVGROKTTNBUGK-UHFFFAOYSA-N,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,31729
lobelanidine,OWGJQNXIWMMDTH-UHFFFAOYSA-N,CN1C(CC(O)c2ccccc2)CCCC1CC(O)c3ccccc3,96946
guggulsterone,WDXRGPWQVHZTQJ-SXMNTYMYSA-N,C\C=C1/C(=O)CC2C3CCC4=CC(=O)CC[C@@]4(C)C3CC[C@@]12C,73707425
fluticasone,RZXNVYCLMORIIB-UHFFFAOYSA-N,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(CC(=O)CO)C(=O)SCF,44483336
flucloxacillin,UIOFUWFRIANQPC-HFIQTRLSSA-N,Cc1onc(c1C(=O)N[C@H]1[C@@H]2SC(C)(C)C(N2C1=O)C(O)=O)-c1c(F)cccc1Cl,73707461
AS-601245,RCYPVQCPYKNSTG-UHFFFAOYSA-N,N#CC(c1nc2ccccc2s1)c1ccnc(NCCc2cccnc2)n1,10109823
bromocriptine,OZVBMTJYIDMWIL-BGNMTYTCSA-N,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,-666
vincristine,OGWKCGZFUXNPDA-CUGARIAGSA-N,CC[C@]1(O)CC2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC,6324671
EMF-sumo1-6,UMMYLBGDOPRQOH-UHFFFAOYSA-N,NC(=O)C1CCN(CC1)C2CC(=O)N(C2=O)c3ccc(F)c(Cl)c3,2951172
metolazone,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O,-666
catechin,PFTAWBLQPZVEMU-UHFFFAOYSA-N,OC1Cc2c(O)cc(O)cc2OC1c3ccc(O)c(O)c3,-666
